degrees,latitude,longitude,timestamp
30.84,22.3046667,39.1035667,2022-04-19T20:10:25.000Z
30.76,22.3046833,39.1035667,2022-04-19T21:10:25.000Z
30.72,22.3047,39.1035667,2022-04-19T22:10:25.000Z
30.7,22.3046833,39.1035667,2022-04-19T23:10:25.000Z
30.64,22.3046667,39.1035833,2022-04-20T00:10:25.000Z
30.62,22.3046,39.1036,2022-04-20T01:10:25.000Z
30.58,22.3046667,39.1035667,2022-04-20T02:10:25.000Z
30.56,22.30465,39.1035667,2022-04-20T03:10:25.000Z
30.56,22.30465,39.1035833,2022-04-20T04:10:25.000Z
30.7,22.30465,39.1035833,2022-04-20T05:10:25.000Z
30.86,22.3046333,39.1036,2022-04-20T06:10:25.000Z
31.04,22.3046333,39.1036,2022-04-20T07:10:25.000Z
31.18,22.3046333,39.1036,2022-04-20T08:10:25.000Z
31.26,22.3046333,39.1036,2022-04-20T09:10:25.000Z
31.12,22.3046667,39.1035833,2022-04-20T10:10:25.000Z
31.16,22.3046833,39.1035833,2022-04-20T11:10:25.000Z
31.16,22.3047,39.1035833,2022-04-20T12:10:25.000Z
31.18,22.3046833,39.1035833,2022-04-20T13:10:25.000Z
31.12,22.3047,39.1035667,2022-04-20T14:10:25.000Z
30.98,22.3047167,39.1035833,2022-04-20T15:10:25.000Z
30.88,22.3047167,39.1035833,2022-04-20T16:10:25.000Z
30.8,22.3047,39.1035833,2022-04-20T17:10:25.000Z
30.78,22.3047,39.1035833,2022-04-20T18:10:25.000Z
30.72,22.3047,39.1035667,2022-04-20T19:10:25.000Z
30.7,22.3047,39.1035667,2022-04-20T20:10:25.000Z
30.64,22.3047,39.1036,2022-04-20T21:10:25.000Z
30.58,22.3046833,39.1036,2022-04-20T22:10:25.000Z
30.52,22.3046833,39.1035833,2022-04-20T23:10:25.000Z
30.52,22.30465,39.1035833,2022-04-21T00:10:25.000Z
30.48,22.3046167,39.1035667,2022-04-21T01:10:25.000Z
30.46,22.3046667,39.1035667,2022-04-21T02:10:25.000Z
30.32,22.3046667,39.1036,2022-04-21T03:10:25.000Z
29.28,22.3046333,39.1036167,2022-04-21T04:10:25.000Z
30.5,22.3046333,39.1036167,2022-04-21T05:10:25.000Z
30.6,22.3046667,39.1036,2022-04-21T06:10:25.000Z
30.74,22.30465,39.1036,2022-04-21T07:10:25.000Z
30.76,22.30465,39.1036,2022-04-21T08:10:25.000Z
30.9,22.3046333,39.1035833,2022-04-21T09:10:25.000Z
31.06,22.3046667,39.1036,2022-04-21T10:10:25.000Z
31.08,22.30465,39.1036,2022-04-21T11:10:25.000Z
31.06,22.3046667,39.1036167,2022-04-21T12:10:25.000Z
31.02,22.3046833,39.1036167,2022-04-21T13:10:25.000Z
31.0,22.3046833,39.1036,2022-04-21T14:10:25.000Z
30.88,22.3047167,39.1035833,2022-04-21T15:10:25.000Z
30.82,22.3047167,39.1035833,2022-04-21T16:10:25.000Z
30.76,22.3046833,39.1036167,2022-04-21T17:10:25.000Z
30.7,22.3046667,39.1036,2022-04-21T18:10:25.000Z
30.62,22.3046833,39.1035833,2022-04-21T19:10:25.000Z
30.6,22.3046667,39.10355,2022-04-21T20:10:25.000Z
30.56,22.3046667,39.1036333,2022-04-21T21:10:25.000Z
30.56,22.3046667,39.1035833,2022-04-21T22:10:25.000Z
30.48,22.3046667,39.1036,2022-04-21T23:10:25.000Z
30.5,22.3046833,39.1036,2022-04-22T00:10:25.000Z
30.44,22.3046667,39.1036,2022-04-22T01:10:25.000Z
30.36,22.3046667,39.1036,2022-04-22T02:10:25.000Z
30.34,22.30465,39.1035833,2022-04-22T03:10:25.000Z
30.4,22.3046167,39.1035833,2022-04-22T04:10:25.000Z
30.44,22.3046667,39.1035833,2022-04-22T05:10:25.000Z
30.64,22.30465,39.1036,2022-04-22T06:10:25.000Z
30.9,22.30465,39.1035833,2022-04-22T07:10:25.000Z
31.14,22.3046333,39.1036167,2022-04-22T08:10:25.000Z
31.16,22.30465,39.1036,2022-04-22T09:10:25.000Z
31.34,22.30465,39.1036,2022-04-22T10:10:25.000Z
31.4,22.30465,39.1036,2022-04-22T11:10:25.000Z
31.28,22.30465,39.1035833,2022-04-22T12:10:25.000Z
31.3,22.3046833,39.1035667,2022-04-22T13:10:25.000Z
31.24,22.3046667,39.1035833,2022-04-22T14:10:25.000Z
31.14,22.3046833,39.1035833,2022-04-22T15:10:25.000Z
30.76,22.3047,39.1035833,2022-04-22T16:10:25.000Z
30.9,22.3046667,39.1035667,2022-04-22T17:10:25.000Z
30.9,22.3046333,39.10365,2022-04-22T18:10:25.000Z
30.9,22.3047,39.1035667,2022-04-22T19:10:25.000Z
30.86,22.30465,39.1036,2022-04-22T20:10:25.000Z
30.8,22.3046833,39.1036167,2022-04-22T21:10:25.000Z
30.8,22.3046667,39.1035667,2022-04-22T22:10:25.000Z
30.8,22.3046667,39.1036,2022-04-22T23:10:25.000Z
30.76,22.3046667,39.1035667,2022-04-23T00:10:25.000Z
30.72,22.3046667,39.1035667,2022-04-23T01:10:25.000Z
30.68,22.30465,39.1035667,2022-04-23T02:10:25.000Z
30.64,22.30465,39.1036,2022-04-23T03:10:25.000Z
30.7,22.30465,39.1036167,2022-04-23T04:10:25.000Z
30.74,22.30465,39.1036167,2022-04-23T05:10:25.000Z
30.84,22.3046333,39.1036,2022-04-23T06:10:25.000Z
30.98,22.3046333,39.1036,2022-04-23T07:10:25.000Z
31.14,22.30465,39.1036,2022-04-23T08:10:25.000Z
31.28,22.3046667,39.1036,2022-04-23T09:10:25.000Z
31.36,22.30465,39.1036,2022-04-23T10:10:25.000Z
31.46,22.30465,39.1036,2022-04-23T11:10:25.000Z
31.5,22.3046667,39.1035833,2022-04-23T12:10:25.000Z
31.5,22.3046833,39.1036,2022-04-23T13:10:25.000Z
31.46,22.3046667,39.1036,2022-04-23T14:10:25.000Z
31.36,22.3046667,39.1036,2022-04-23T15:10:25.000Z
31.28,22.3046833,39.1036,2022-04-23T16:10:25.000Z
